Madrid,Barcelona,2025-11-15,2025-11-22,Iberia,89.00 EUR,245.00 EUR,45
Madrid,Paris,2025-11-20,2025-11-27,Air France,135.00 EUR,420.00 EUR,32
Madrid,Roma,2025-12-01,2025-12-08,Vueling,142.00 EUR,385.00 EUR,28
Madrid,Londres,2025-12-05,2025-12-12,British Airways,158.00 EUR,465.00 EUR,18
Madrid,Berlin,2025-11-18,2025-11-25,Lufthansa,125.00 EUR,395.00 EUR,22
Madrid,Lisboa,2025-11-10,2025-11-17,TAP Portugal,78.00 EUR,215.00 EUR,38
Madrid,Amsterdam,2025-12-10,2025-12-17,KLM,165.00 EUR,485.00 EUR,15
Madrid,Zurich,2025-11-25,2025-12-02,Swiss,195.00 EUR,575.00 EUR,12
Madrid,Viena,2025-12-08,2025-12-15,Austrian,178.00 EUR,525.00 EUR,20
Madrid,Nueva York,2025-12-15,2025-12-29,United Airlines,485.00 EUR,1850.00 EUR,8
Madrid,Madrid,2025-11-16,2025-11-23,Iberia,89.00 EUR,245.00 EUR,42
Madrid,Paris,2025-11-22,2025-11-29,Vueling,98.00 EUR,285.00 EUR,35
Madrid,Roma,2025-12-03,2025-12-10,Ryanair,72.00 EUR,195.00 EUR,48
Madrid,Londres,2025-11-28,2025-12-05,EasyJet,85.00 EUR,245.00 EUR,40
Madrid,Amsterdam,2025-12-12,2025-12-19,Vueling,115.00 EUR,345.00 EUR,25
Madrid,Berlin,2025-11-20,2025-11-27,Lufthansa,108.00 EUR,325.00 EUR,30
Madrid,Madrid,2025-11-21,2025-11-28,Air France,135.00 EUR,420.00 EUR,28
Madrid,Barcelona,2025-11-23,2025-11-30,Vueling,98.00 EUR,285.00 EUR,32
Madrid,Roma,2025-12-05,2025-12-12,Air France,125.00 EUR,375.00 EUR,22
Madrid,Londres,2025-11-18,2025-11-25,Air France,95.00 EUR,295.00 EUR,35
Madrid,Berlin,2025-12-02,2025-12-09,Air France,118.00 EUR,355.00 EUR,28
Madrid,Amsterdam,2025-11-15,2025-11-22,KLM,88.00 EUR,265.00 EUR,38
Madrid,Nueva York,2025-12-18,2026-01-02,Air France,525.00 EUR,1950.00 EUR,6
Madrid,Madrid,2025-12-02,2025-12-09,Vueling,142.00 EUR,385.00 EUR,25
Madrid,Barcelona,2025-12-04,2025-12-11,Ryanair,72.00 EUR,195.00 EUR,45
Madrid,Paris,2025-12-06,2025-12-13,ITA Airways,125.00 EUR,375.00 EUR,20
Madrid,Londres,2025-11-25,2025-12-02,British Airways,155.00 EUR,445.00 EUR,18
Madrid,Berlin,2025-12-08,2025-12-15,Lufthansa,138.00 EUR,415.00 EUR,22
Madrid,Atenas,2025-11-20,2025-11-27,Aegean Airlines,98.00 EUR,285.00 EUR,30
Madrid,Madrid,2025-12-06,2025-12-13,British Airways,158.00 EUR,465.00 EUR,15
Madrid,Barcelona,2025-11-29,2025-12-06,EasyJet,85.00 EUR,245.00 EUR,38
Madrid,Paris,2025-11-19,2025-11-26,British Airways,95.00 EUR,295.00 EUR,32
Madrid,Roma,2025-11-26,2025-12-03,British Airways,155.00 EUR,445.00 EUR,16
Madrid,Amsterdam,2025-12-10,2025-12-17,British Airways,78.00 EUR,235.00 EUR,40
Madrid,Nueva York,2025-12-20,2026-01-05,British Airways,445.00 EUR,1750.00 EUR,10
Madrid,Madrid,2025-11-19,2025-11-26,Lufthansa,125.00 EUR,395.00 EUR,20
Madrid,Barcelona,2025-11-21,2025-11-28,Lufthansa,108.00 EUR,325.00 EUR,28
Madrid,Paris,2025-12-03,2025-12-10,Lufthansa,118.00 EUR,355.00 EUR,25
Madrid,Roma,2025-12-09,2025-12-16,Lufthansa,138.00 EUR,415.00 EUR,20
Madrid,Londres,2025-11-22,2025-11-29,Lufthansa,105.00 EUR,315.00 EUR,30
Madrid,Amsterdam,2025-12-05,2025-12-12,Lufthansa,88.00 EUR,265.00 EUR,35
Madrid,Madrid,2025-11-11,2025-11-18,TAP Portugal,78.00 EUR,215.00 EUR,36
Madrid,Barcelona,2025-11-24,2025-12-01,TAP Portugal,95.00 EUR,275.00 EUR,28
Madrid,Paris,2025-12-07,2025-12-14,TAP Portugal,125.00 EUR,375.00 EUR,22
Madrid,Londres,2025-11-30,2025-12-07,TAP Portugal,145.00 EUR,435.00 EUR,18
Madrid,Madrid,2025-12-11,2025-12-18,KLM,165.00 EUR,485.00 EUR,12
Madrid,Barcelona,2025-12-13,2025-12-20,KLM,115.00 EUR,345.00 EUR,22
Madrid,Paris,2025-11-16,2025-11-23,KLM,88.00 EUR,265.00 EUR,35
Madrid,Londres,2025-12-11,2025-12-18,KLM,78.00 EUR,235.00 EUR,38
Madrid,Berlin,2025-12-06,2025-12-13,KLM,88.00 EUR,265.00 EUR,32
Madrid,Madrid,2025-11-26,2025-12-03,Swiss,195.00 EUR,575.00 EUR,10
Madrid,Paris,2025-12-08,2025-12-15,Swiss,158.00 EUR,465.00 EUR,15
Madrid,Londres,2025-11-28,2025-12-05,Swiss,185.00 EUR,545.00 EUR,12
Madrid,Madrid,2025-12-09,2025-12-16,Austrian,178.00 EUR,525.00 EUR,18
Madrid,Paris,2025-11-22,2025-11-29,Austrian,145.00 EUR,435.00 EUR,22
Madrid,Roma,2025-12-01,2025-12-08,Austrian,135.00 EUR,405.00 EUR,25
Madrid,Madrid,2025-11-25,2025-12-02,Czech Airlines,158.00 EUR,465.00 EUR,20
Madrid,Paris,2025-12-05,2025-12-12,Czech Airlines,125.00 EUR,375.00 EUR,25
Madrid,Londres,2025-11-28,2025-12-05,Czech Airlines,148.00 EUR,445.00 EUR,18
Madrid,Roma,2025-11-21,2025-11-28,Aegean Airlines,98.00 EUR,285.00 EUR,28
Madrid,Paris,2025-12-10,2025-12-17,Aegean Airlines,165.00 EUR,485.00 EUR,15
Madrid,Londres,2025-11-30,2025-12-07,Aegean Airlines,185.00 EUR,545.00 EUR,12
Madrid,Madrid,2025-12-08,2025-12-15,Norwegian,195.00 EUR,575.00 EUR,15
Madrid,Londres,2025-11-25,2025-12-02,Norwegian,165.00 EUR,485.00 EUR,20
Madrid,Madrid,2025-12-10,2025-12-17,SAS,205.00 EUR,605.00 EUR,12
Madrid,Paris,2025-11-28,2025-12-05,SAS,175.00 EUR,515.00 EUR,18
Madrid,Madrid,2025-12-05,2025-12-12,SAS,188.00 EUR,555.00 EUR,16
Madrid,Paris,2025-11-22,2025-11-29,SAS,155.00 EUR,465.00 EUR,22
Madrid,Londres,2025-12-08,2025-12-15,SAS,145.00 EUR,435.00 EUR,25
Madrid,Madrid,2025-12-16,2025-12-30,United Airlines,485.00 EUR,1850.00 EUR,7
Madrid,Paris,2025-12-19,2026-01-03,Air France,525.00 EUR,1950.00 EUR,5
Madrid,Londres,2025-12-21,2026-01-06,British Airways,445.00 EUR,1750.00 EUR,9
Madrid,Los Angeles,2025-11-20,2025-11-27,American Airlines,285.00 EUR,875.00 EUR,25
Madrid,Nueva York,2025-11-21,2025-11-28,American Airlines,285.00 EUR,875.00 EUR,22
Madrid,Madrid,2025-12-18,2026-01-02,Iberia,595.00 EUR,2150.00 EUR,8
Madrid,Londres,2025-12-15,2025-12-29,British Airways,565.00 EUR,2050.00 EUR,10
Madrid,Nueva York,2025-11-25,2025-12-02,Air Canada,165.00 EUR,485.00 EUR,30
Madrid,Londres,2025-12-10,2025-12-24,Air Canada,425.00 EUR,1650.00 EUR,12
Madrid,Madrid,2025-12-08,2025-12-22,Aeromexico,545.00 EUR,1950.00 EUR,10
Madrid,Nueva York,2025-11-28,2025-12-05,Aeromexico,325.00 EUR,985.00 EUR,18
Madrid,Madrid,2025-12-15,2026-01-05,Iberia,785.00 EUR,2850.00 EUR,8
Madrid,Sao Paulo,2025-11-22,2025-11-29,LATAM,245.00 EUR,735.00 EUR,25
Madrid,Madrid,2025-12-20,2026-01-10,LATAM,825.00 EUR,2950.00 EUR,6
Madrid,Buenos Aires,2025-11-18,2025-11-25,LATAM,195.00 EUR,585.00 EUR,30
Madrid,Madrid,2025-12-12,2025-12-28,Iberia,685.00 EUR,2450.00 EUR,10
Madrid,Bogota,2025-11-25,2025-12-02,Avianca,285.00 EUR,865.00 EUR,22
Madrid,Madrid,2025-12-10,2025-12-24,Iberia,625.00 EUR,2250.00 EUR,12
Madrid,Lima,2025-11-26,2025-12-03,Avianca,285.00 EUR,865.00 EUR,20
Madrid,Madrid,2025-12-18,2026-01-08,Iberia,745.00 EUR,2650.00 EUR,8
Madrid,Lisboa,2025-12-05,2025-12-19,TAP Portugal,565.00 EUR,2050.00 EUR,15
Madrid,Madrid,2025-12-22,2026-01-12,LATAM,765.00 EUR,2750.00 EUR,7
Madrid,Buenos Aires,2025-11-23,2025-11-30,LATAM,245.00 EUR,735.00 EUR,22
Madrid,Madrid,2025-12-28,2026-01-15,Japan Airlines,985.00 EUR,3650.00 EUR,5
Madrid,Seul,2025-11-20,2025-11-27,ANA,245.00 EUR,745.00 EUR,28
